Date,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,TEMP_MOY,HUMIDITY_MAX_PERCENT,HUMIDITY_EST_AVG,WINDSPEED_MAX_KMH,WINDSPEED_AVG_KMH,PRECIP_TOTAL_DAY_MM,SUNHOUR,SR_EST_W_m2,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,Toluène,Benzène,CO,NO2,SO2,O3,PM2.5,PM10,AQI,City
2024-09-02,21,18,19.25,95,71.25,19,11.4,0.1,6,900,1010,68.625,2.207082625,0.5871269166666666,215.45833333333331,19.6375,2.3291666666666666,61.875,13.504166666666668,17.258333333333333,34.96701433333333,London
2024-09-03,23,16,18.75,89,66.75,16,9.6,0.2,9,1350,1016,50.0,1.5004942083333332,0.5390057083333334,195.79166666666663,19.5125,2.45,51.66666666666666,7.279166666666666,11.020833333333334,21.934027291666663,London
2024-09-04,19,14,16.0,76,57.0,14,8.4,2.4,6,900,1018,70.125,1.1170968947368425,0.3691657222222222,213.95833333333331,19.89583333333333,2.975,45.66666666666666,14.166666666666666,16.908333333333335,23.097916416666667,London
2024-09-05,17,14,15.5,97,72.75,12,7.199999999999999,3.1,1,150,1016,89.25,0.9017731666666666,0.3466906666666667,196.375,11.441666666666668,1.5208333333333333,69.79166666666667,10.3625,16.079166666666666,29.58437370833333,London
2024-09-06,20,16,17.25,98,73.5,9,5.4,0.8,1,150,1011,84.375,2.9814740000000004,0.831713875,266.4166666666667,36.770833333333336,3.65,47.833333333333336,19.8125,25.291666666666668,35.297220333333335,London
2024-09-07,23,15,17.5,83,62.25,15,9.0,0.6,10,1500,1013,54.25,2.6631164166666665,0.8653005,255.54166666666663,28.3125,3.758333333333333,58.583333333333336,14.258333333333333,16.8125,35.72534683333333,London
2024-09-08,19,15,16.5,92,69.0,17,10.2,7.9,3,450,1005,84.75,1.8289962916666669,0.5894556249999999,209.58333333333331,17.599999999999998,1.8916666666666664,65.875,5.370833333333334,6.675,27.260069625,London
2024-09-09,17,13,15.75,82,61.5,20,12.0,0.0,4,600,1014,75.625,1.038735958333333,0.37552,193.0,13.3,1.6416666666666666,54.708333333333336,6.966666666666666,10.195833333333333,21.883333125,London
2024-09-10,18,11,14.25,82,61.5,22,13.2,1.5,2,300,1013,77.625,1.9273337083333333,0.5194664583333334,185.58333333333331,11.825,1.4333333333333331,49.625,7.7875,12.404166666666669,19.849999916666665,London
2024-09-11,14,9,10.75,78,58.5,19,11.4,0.7,8,1200,1010,33.875,1.3865431,0.3501923999999999,185.66666666666663,9.1125,1.1708333333333334,49.458333333333336,4.375,8.641666666666667,19.78333329166667,London
2024-09-12,14,8,10.75,76,57.0,16,9.6,0.2,7,1050,1022,34.5,0.9703392857142856,0.3161662608695652,197.08333333333331,13.491666666666667,1.6833333333333331,40.833333333333336,5.216666666666667,8.791666666666666,16.608333375,London
2024-09-13,16,8,11.5,70,52.5,12,7.199999999999999,0.0,12,1800,1031,14.0,2.329742375,0.6778857916666667,221.70833333333331,22.454166666666666,2.891666666666667,40.04166666666666,8.033333333333333,12.029166666666669,19.4681945,London
2024-09-14,18,10,13.25,70,52.5,9,5.4,0.0,13,1950,1031,11.875,3.079588875,0.8394737083333333,243.04166666666663,28.08333333333333,3.325,37.875,10.85,15.5,23.338473041666663,London
2024-09-15,20,11,14.75,72,54.0,14,8.4,0.0,13,1950,1029,17.0,2.136084125,0.4727573913043478,206.83333333333331,18.941666666666663,2.1750000000000003,55.833333333333336,9.433333333333334,13.591666666666669,24.35520825,London
2024-09-16,20,12,15.5,82,61.5,14,8.4,0.0,13,1950,1031,18.0,0.7465906521739131,0.2644208333333333,182.29166666666663,13.220833333333331,1.9875,49.125,6.916666666666667,9.8875,20.54409670833333,London
2024-09-17,21,12,15.5,88,66.0,19,11.4,0.0,13,1950,1031,18.375,0.592312,0.2227212173913043,170.70833333333334,11.170833333333334,1.4166666666666667,56.5,4.316666666666667,8.291666666666666,22.600000125,London
2024-09-18,24,13,17.25,94,70.5,20,12.0,0.0,13,1950,1029,28.625,0.5523177222222222,0.2466058421052631,178.08333333333334,11.283333333333331,1.6083333333333334,67.41666666666667,8.666666666666666,14.791666666666666,26.96666675,London
2024-09-19,24,15,18.75,92,69.0,22,13.2,0.0,13,1950,1026,24.625,0.6597345,0.3755243333333333,193.91666666666663,13.0625,2.220833333333333,67.75,13.741666666666667,19.704166666666666,28.568749291666663,London
2024-09-20,22,16,18.0,77,57.75,20,12.0,0.0,13,1950,1023,33.75,0.931073,0.4698237916666666,199.0,13.1875,2.2583333333333333,70.33333333333333,15.820833333333333,22.2375,29.937152708333333,London
